day,average_insolation
2595.2283550925413,125.11626672788873
2596.228445173446,127.70194116171815
2597.22853525435,130.3337034873195
2598.2286253352545,133.0107948578135
2599.228715416159,135.7324299587003
2600.228805497063,138.49779774582905
2601.2288955779677,141.30606222163053
2602.228985658872,144.15636324548538
2603.2290757397764,147.0478173741868
2604.2291658206805,149.97951872854193
2605.229255901585,152.95053988235748
2606.229345982489,155.95993277011573
2607.2294360633937,159.00672960985622
2608.2295261442982,162.0899438378976
2609.2296162252023,165.2085710522011
2610.229706306107,168.36158996135674
2611.229796387011,171.54796333626672
2612.2298864679155,174.7666389618643
2613.2299765488196,178.01655058624058
2614.230066629724,181.296618864845
2615.2301567106283,184.60575229743012
2616.230246791533,187.94284815571575
2617.2303368724374,191.3067933997421
2618.2304269533415,194.69646558115178
2619.230517034246,198.11073373170848
2620.23060711515,201.54845923547546
2621.2306971960547,205.00849668330062
2622.230787276959,208.48969470823766
2623.2308773578634,211.99089680080314
2624.2309674387675,215.51094210290967
2625.231057519672,219.04866617964157
2626.2311476005766,222.60290176785455
2627.2312376814807,226.17247950100582
2628.2313277623853,229.75622860943145
2629.2314178432894,233.3529775955077
2630.231507924194,236.96155488326602
2631.231598005098,240.58078944194074
2632.2316880860026,244.20951138319714
2633.231778166907,247.846552531711
2634.2318682478112,251.49074696891606
2635.231958328716,255.1409315497911
2636.23204840962,258.79594639255197
2637.2321384905244,262.45463534134416
2638.2322285714285,266.1158464018248
2639.232318652333,269.7784321498502
2640.232408733237,273.4412501133384
2641.2324988141418,277.1031631275487
2642.2325888950463,280.7630396639656
2643.2326789759504,284.4197541331275
2644.232769056855,288.0721871617271
2645.232859137759,291.7192258443148
2646.2329492186636,295.35976397011564
2647.2330392995677,298.99270222535347
2648.2331293804723,302.61694837166476
2649.2332194613764,306.2314174010644
2650.233309542281,309.83503166822175
2651.2333996231855,313.4267210004947
2652.2334897040896,317.0054227866231
2653.233579784994,320.57008204464813
2654.2336698658983,324.11965146993845
2655.233759946803,327.6530914641475
2656.233850027707,331.1693701459265
2657.2339401086115,334.66746334439506
2658.2340301895156,338.1463545762897
2659.23412027042,341.6050350078626
2660.2342103513247,345.042503402571
2661.234300432229,348.45776605573775
2662.2343905131333,351.84983671734904
2663.2344805940374,355.21773650420056
2664.234570674942,358.5604938027906
2665.234660755846,361.8771441641854
2666.2347508367507,365.16673019239306
2667.234840917655,368.42830142763023
2668.2349309985593,371.66091422605945
2669.235021079464,374.8636316375616
2670.235111160368,378.035523283192
2671.2352012412725,381.1756652340113
2672.2352913221766,384.28313989302535
2673.235381403081,387.3570358821002
2674.2354714839853,390.39644793558216
2675.23556156489,393.40047680265553
2676.2356516457944,396.3682291602345
2677.2357417266985,399.2988175384684
2678.235831807603,402.1913602608005
2679.235921888507,405.04498140059457
2680.2360119694117,407.85881075641964
2681.236102050316,410.63198384795373
2682.2361921312204,413.36364193464095
2683.2362822121245,416.0529320590299
2684.236372293029,418.6990071168722
2685.2364623739336,421.30102595590216
2686.2365524548377,423.85815350518203
2687.2366425357422,426.3695609369252
2688.2367326166463,428.8344258624585
2689.236822697551,431.25193256404475
2690.236912778455,433.62127226405
2691.2370028593596,435.94164343287036
2692.237092940264,438.21225213681333
2693.237183021168,440.43231242701773
2694.237273102073,442.60104677020905
2695.237363182977,444.71768652192884
2696.2374532638814,446.7814724426162
2697.2375433447855,448.79165525658857
2698.23763342569,450.74749625378644
2699.237723506594,452.64826793374823
2700.2378135874987,454.49325469097784
2701.2379036684033,456.28175354053985
2702.2379937493074,458.0130748823164
2703.238083830212,459.68654330205067
2704.238173911116,461.3014984068053
2705.2382639920206,462.8572956922055
2706.2383540729247,464.35330743832384
2707.2384441538293,465.78892363076034
2708.2385342347334,467.16355290301095
2709.238624315638,468.4766234958974
2710.2387143965425,469.7275842294389
2711.2388044774466,470.91590548223076
2712.238894558351,472.04108017305276
2713.2389846392552,473.1026247391917
2714.23907472016,474.1000801057091
